bullet_id,model,attempts,input_tokens,output_tokens,wall_clock_seconds,result,changed_lines
JOB-000,gemini-3.8-flash-high,2,,, ,pass,172
JOB-001,gemini-3.8-flash-high,2,,, ,pass,304
JOB-002,gemini-3.8-flash-high,1,,, ,pass,272
P0.001,gemini-3.8-flash-high,1,,,2219,pass,274
P0.002,gemini-3.8-flash-high,1,,,661,pass,240
P0.003,gemini-3.8-flash-high,1,,,233,pass,2
P0.004,gemini-3.8-flash-high,2,,,837,pass,310
P0.005,gpt-5.6-luna,3,,,2175,pass,369
P0.006,gemini-3.8-flash-high,2,,,637,pass,251
P0.007,gemini-3.8-flash-high,2,,,919,pass,285
P0.008,gpt-5.6-luna,3,,,1547,pass,348
P0.009,gemini-3.8-flash-high,1,,,223,pass,199
P0.010,gpt-5.6-luna,3,,,76841,pass,328
P0.011,gpt-5.6-luna,2,,,131549,pass,304
P0.012,gemini+gpt-5.6-luna,9,,,,pass,382
P0.013,gemini-3.8-flash-high,2,,,,pass,296
P0.014,ANTIGRAV,1,0,0,2026-09-17T14:05:46Z,pass,107 files changed, 187 insertions(+), 12198 deletions(-)
P0.015,ANTIGRAV,1,0,0,2026-09-17T14:12:39Z,pass,deleted 5 paths+6 harnesses
P0.016,ANTIGRAV,1,0,0,2026-09-17T14:15:26Z,pass,deleted 2 tracked symlinks + gitignore
P0.018,ANTIGRAV,1,0,0,2026-09-17T14:46:14Z,pass,seeded-routing 100 seeds + suite wiring
P0.017,ANTIGRAV,1,0,0,2026-09-17T14:49:01Z,waived,quota-vetoed-evidence
P0.019,ANTIGRAV,1,0,0,2026-09-17T14:59:44Z,pass,RC-PHASE0 10/10 overlay-100pct
P0.020,OWNER,0,0,0,2026-09-17T19:29:40Z,waived,automated-only
